occurrence_year,occurrence_date,occurrence_time,primary_offence,arrest_made,hour
2018,2018-01-03,12:00,Wilful Promotion of Hatred,NO,12
2018,2018-01-08,17:57,Assault,YES,17
2018,2018-01-10,21:45,Mischief Under $5000,NO,21
2018,2018-01-19,20:21,Mischief Under $5000,NO,20
2018,2018-01-19,18:00,Assault,NO,18
2018,2018-01-26,18:00,Mischief Under $5000,NO,18
2018,2018-01-27,11:58,Mischief Under $5000,NO,11
2018,2018-02-01,10:00,Uttering Threats - Bodily Harm,NO,10
2018,2018-02-01,01:27,Mischief Under $5000,NO,1
2018,2018-02-02,09:00,Mischief Under $5000,NO,9
2018,2018-02-05,12:57,Mischief Under $5000,NO,12
2018,2018-02-12,21:40,Assault,NO,21
2018,2018-02-13,06:00,Mischief Under $5000,NO,6
2018,2018-02-16,13:00,Uttering Threats - Bodily Harm,NO,13
2018,2018-02-17,17:55,Assault,NO,17
2018,2018-02-20,21:36,Mischief Under $5000,NO,21
2018,2018-02-21,09:00,Mischief Under $5000,NO,9
2018,2018-02-22,05:00,Mischief Under $5000,NO,5
2018,2018-02-23,16:10,Assault,YES,16
2018,2018-02-24,10:45,Mischief Under $5000,NO,10
2018,2018-02-27,09:43,Assault,YES,9
2018,2018-03-01,15:45,Criminal Harassment,NO,15
2018,2018-03-05,11:00,Mischief Interfere With Property,NO,11
2018,2018-03-06,07:00,Uttering Threats - Bodily Harm,NO,7
2018,2018-03-06,14:30,Uttering Threats - Bodily Harm,NO,14
2018,2018-03-09,19:00,Mischief Under $5000,NO,19
2018,2018-03-16,18:00,Mischief Under $5000,NO,18
2018,2018-03-22,06:20,Mischief Under $5000,NO,6
2018,2018-03-27,21:30,Mischief Interfere With Property,NO,21
2018,2018-03-28,13:45,Mischief Under $5000,NO,13
2018,2018-03-28,13:57,Uttering Threats - Bodily Harm,YES,13
2018,2018-04-08,16:00,"Mischief To Religious Property, Educational Institutions, Etc.",NO,16
2018,2018-04-12,08:12,Assault With a Weapon,YES,8
2018,2018-04-13,10:45,Criminal Harassment,NO,10
2018,2018-04-13,09:00,Assault Causing Bodily Harm,YES,9
2018,2018-04-14,17:09,Uttering Threats - Bodily Harm,NO,17
2018,2018-04-15,10:49,Assault,YES,10
2018,2018-04-16,06:20,Assault With a Weapon,YES,6
2018,2018-04-19,02:58,Mischief Under $5000,NO,2
2018,2018-04-20,20:30,Assault,NO,20
2018,2018-04-20,16:00,Mischief Interfere With Property,NO,16
2018,2018-04-22,19:26,Uttering Threats - Bodily Harm,NO,19
2018,2018-04-25,19:00,Mischief Under $5000,YES,19
2018,2018-04-26,00:01,Assault,NO,0
2018,2018-04-28,21:00,Mischief Under $5000,NO,21
2018,2018-05-05,01:05,Assault,NO,1
2018,2018-05-14,06:15,Mischief Under $5000,NO,6
2018,2018-05-16,09:51,Uttering Threats - Bodily Harm,NO,9
2018,2018-05-17,18:25,Mischief Interfere With Property,NO,18
2018,2018-05-19,14:50,Assault With a Weapon,YES,14
2018,2018-05-21,09:48,Mischief Under $5000,NO,9
2018,2018-05-24,00:01,Mischief Under $5000,NO,0
2018,2018-05-29,17:00,Uttering Threats - Bodily Harm,NO,17
2018,2018-05-29,20:30,"Mischief To Religious Property, Educational Institutions, Etc.",NO,20
2018,2018-05-31,12:12,Mischief Under $5000,NO,12
2018,2018-05-31,19:00,Mischief Under $5000,NO,19
2018,2018-06-01,12:25,"Mischief To Religious Property, Educational Institutions, Etc.",NO,12
2018,2018-06-06,15:57,Assault,YES,15
2018,2018-06-06,15:00,Assault,YES,15
2018,2018-06-06,21:52,Assault,YES,21
2018,2018-06-07,19:52,Assault,YES,19
2018,2018-06-12,05:50,Uttering Threats - Bodily Harm,YES,5
2018,2018-06-22,14:18,Uttering Threats - Property,YES,14
2018,2018-06-23,07:46,Mischief Under $5000,NO,7
2018,2018-06-24,05:53,Uttering Threats - Bodily Harm,NO,5
2018,2018-06-26,07:00,Arson,NO,7
2018,2018-06-26,14:52,Public Incitement of Hatred,NO,14
2018,2018-06-27,17:00,Mischief Under $5000,NO,17
2018,2018-06-29,07:36,Mischief Under $5000,NO,7
2018,2018-07-04,16:00,Assault,NO,16
2018,2018-07-10,00:00,Mischief Under $5000,NO,0
2018,2018-07-14,04:45,Assault,NO,4
2018,2018-07-21,13:04,"Mischief To Religious Property, Educational Institutions, Etc.",NO,13
2018,2018-07-23,18:23,Assault,YES,18
2018,2018-07-23,00:00,Theft,NO,0
2018,2018-07-24,19:00,Mischief Under $5000,NO,19
2018,2018-07-26,17:00,Mischief Under $5000,NO,17
2018,2018-07-29,18:42,Mischief Under $5000,NO,18
2018,2018-07-31,20:00,"Mischief To Religious Property, Educational Institutions, Etc.",NO,20
2018,2018-08-02,12:00,Mischief Under $5000,NO,12
2018,2018-08-03,11:48,Mischief Under $5000,NO,11
2018,2018-08-03,12:00,Mischief Under $5000,NO,12
2018,2018-08-08,18:19,Assault With a Weapon,NO,18
2018,2018-08-09,19:39,Assault,YES,19
2018,2018-08-11,11:30,Mischief Under $5000,NO,11
2018,2018-08-12,17:20,Assault,NO,17
2018,2018-08-14,10:00,Mischief Under $5000,NO,10
2018,2018-08-14,00:01,Indecent Communications,YES,0
2018,2018-08-19,15:46,Mischief Under $5000,NO,15
2018,2018-08-20,00:01,"Mischief To Religious Property, Educational Institutions, Etc.",NO,0
2018,2018-08-21,21:00,Assault,NO,21
2018,2018-08-22,16:45,Mischief Under $5000,NO,16
2018,2018-08-25,23:10,Assault With a Weapon,NO,23
2018,2018-08-27,14:57,Mischief Under $5000,NO,14
2018,2018-08-30,00:00,Mischief Under $5000,NO,0
2018,2018-08-31,13:15,Assault,NO,13
2018,2018-09-04,08:00,Mischief Under $5000,NO,8
2018,2018-09-04,09:00,Mischief Under $5000,NO,9
2018,2018-09-05,19:30,Mischief Under $5000,NO,19
2018,2018-09-15,23:57,Uttering Threats - Bodily Harm,YES,23
2018,2018-09-19,13:00,Mischief Interfere With Property,NO,13
2018,2018-09-20,16:00,"Mischief To Religious Property, Educational Institutions, Etc.",NO,16
2018,2018-09-21,22:33,Mischief Under $5000,NO,22
2018,2018-09-21,00:01,Uttering Threats - Bodily Harm,NO,0
2018,2018-10-01,00:00,Mischief Under $5000,NO,0
2018,2018-10-02,12:00,Indecent Communications,NO,12
2018,2018-10-04,00:01,Indecent Communications,NO,0
2018,2018-10-05,16:00,"Mischief To Religious Property, Educational Institutions, Etc.",NO,16
2018,2018-10-07,20:00,"Mischief To Religious Property, Educational Institutions, Etc.",NO,20
2018,2018-10-07,12:30,"Mischief To Religious Property, Educational Institutions, Etc.",NO,12
2018,2018-10-08,12:40,Mischief Under $5000,NO,12
2018,2018-10-09,08:00,Mischief Under $5000,NO,8
2018,2018-10-22,14:17,Mischief Under $5000,YES,14
2018,2018-10-25,07:10,Assault,NO,7
2018,2018-10-26,08:00,Mischief Under $5000,NO,8
2018,2018-10-27,00:00,Mischief Under $5000,NO,0
2018,2018-10-27,09:08,Mischief Under $5000,NO,9
2018,2018-10-29,22:04,Mischief Under $5000,NO,22
2018,2018-10-30,16:00,Mischief Under $5000,NO,16
2018,2018-10-30,13:09,Criminal Harassment,YES,13
2018,2018-11-04,11:36,Assault With a Weapon,YES,11
2018,2018-11-04,11:13,Mischief Under $5000,NO,11
2018,2018-11-08,00:01,Uttering Threats - Bodily Harm,NO,0
2018,2018-11-10,00:13,Mischief Under $5000,NO,0
2018,2018-11-11,20:02,Robbery,NO,20
2018,2018-11-18,11:10,Assault,NO,11
2018,2018-11-19,15:05,Mischief Under $5000,NO,15
2018,2018-11-21,11:51,Assault,NO,11
2018,2018-11-22,12:27,Mischief Under $5000,NO,12
2018,2018-11-26,16:12,Criminal Harassment,NO,16
2018,2018-12-05,13:00,Criminal Harassment,NO,13
2018,2018-12-06,11:19,Criminal Harassment,NO,11
2018,2018-12-08,21:00,Mischief Under $5000,NO,21
2019,2019-01-01,12:00,Mischief Under $5000,NO,12
2019,2019-01-12,01:00,Assault,NO,1
2019,2019-01-16,16:00,Mischief Under $5000,NO,16
2019,2019-01-23,14:15,Mischief Under $5000,NO,14
2019,2019-01-25,23:00,Assault,YES,23
2019,2019-01-26,13:35,Uttering Threats - Bodily Harm,NO,13
2019,2019-01-27,03:00,Mischief Interfere With Property,NO,3
2019,2019-02-07,17:00,"Mischief To Religious Property, Educational Institutions, Etc.",YES,17
2019,2019-02-11,00:00,Mischief Under $5000,NO,0
2019,2019-02-22,23:00,Mischief Under $5000,NO,23
2019,2019-02-23,10:00,Mischief Under $5000,NO,10
2019,2019-02-26,00:00,Mischief Under $5000,NO,0
2019,2019-02-27,07:00,Mischief Under $5000,NO,7
2019,2019-03-02,19:53,Assault,NO,19
2019,2019-03-02,00:01,Uttering Threats - Bodily Harm,NO,0
2019,2019-03-09,08:28,Uttering Threats - Bodily Harm,NO,8
2019,2019-03-10,15:04,Uttering Threats - Bodily Harm,YES,15
2019,2019-03-14,01:43,Assault,NO,1
2019,2019-03-15,16:00,Wilful Promotion of Hatred,NO,16
2019,2019-03-16,10:46,Mischief Under $5000,NO,10
2019,2019-03-18,10:00,"Mischief To Religious Property, Educational Institutions, Etc.",NO,10
2019,2019-03-23,14:16,Mischief Under $5000,NO,14
2019,2019-03-25,03:53,Criminal Harassment,NO,3
2019,2019-04-06,22:30,Mischief Under $5000,NO,22
2019,2019-04-08,12:00,Criminal Harassment,NO,12
2019,2019-04-09,18:00,"Mischief To Religious Property, Educational Institutions, Etc.",NO,18
2019,2019-04-10,12:00,Criminal Harassment,NO,12
2019,2019-04-10,10:15,Mischief Under $5000,NO,10
2019,2019-04-13,02:57,Assault,NO,2
2019,2019-04-21,15:00,"Mischief To Religious Property, Educational Institutions, Etc.",NO,15
2019,2019-04-25,10:10,Mischief Under $5000,NO,10
2019,2019-04-30,09:00,Criminal Harassment,NO,9
2019,2019-05-05,12:36,Mischief Under $5000,NO,12
2019,2019-05-07,15:19,Criminal Harassment,NO,15
2019,2019-05-09,13:10,Mischief Under $5000,NO,13
2019,2019-05-10,21:00,Assault,NO,21
2019,2019-05-10,12:00,Uttering Threats - Bodily Harm,NO,12
2019,2019-05-12,17:50,Disturbing Religious Worship Or Certain Meetings,NO,17
2019,2019-05-15,07:00,Mischief Under $5000,NO,7
2019,2019-05-17,19:43,Uttering Threats - Bodily Harm,NO,19
2019,2019-05-17,09:51,Uttering Threats - Bodily Harm,YES,9
2019,2019-05-19,08:33,Mischief Under $5000,NO,8
2019,2019-05-20,12:00,Uttering Threats - Bodily Harm,YES,12
2019,2019-05-22,18:00,Mischief Under $5000,NO,18
2019,2019-05-28,12:00,Assault,NO,12
2019,2019-05-29,10:00,Criminal Harassment,NO,10
2019,2019-05-31,12:05,Criminal Harassment,NO,12
2019,2019-05-31,00:30,Uttering Threats - Bodily Harm,NO,0
2019,2019-06-01,07:00,Criminal Harassment,NO,7
2019,2019-06-03,17:45,Mischief Under $5000,NO,17
2019,2019-06-03,18:00,Mischief Interfere With Property,NO,18
2019,2019-06-04,17:50,Causing a Disturbance,YES,17
2019,2019-06-07,00:00,Mischief Under $5000,NO,0
2019,2019-06-08,01:30,Assault,NO,1
2019,2019-06-11,13:54,Assault,YES,13
2019,2019-06-15,20:00,Mischief Interfere With Property,NO,20
2019,2019-06-17,19:16,Mischief Under $5000,NO,19
2019,2019-06-17,10:00,Assault,NO,10
2019,2019-06-19,02:30,Assault,NO,2
2019,2019-06-19,10:45,Assault,NO,10
2019,2019-06-20,19:00,"Mischief To Religious Property, Educational Institutions, Etc.",NO,19
2019,2019-06-23,20:00,Mischief Under $5000,NO,20
2019,2019-06-24,13:25,Criminal Harassment,NO,13
2019,2019-06-26,21:26,Assault,YES,21
2019,2019-06-27,23:30,Mischief Under $5000,NO,23
2019,2019-06-30,12:00,Mischief Under $5000,NO,12
2019,2019-07-02,07:30,Assault,NO,7
2019,2019-07-04,19:00,Mischief Under $5000,YES,19
2019,2019-07-08,17:00,Mischief Under $5000,NO,17
2019,2019-07-08,18:00,Mischief Under $5000,NO,18
2019,2019-07-09,22:00,Uttering Threats - Bodily Harm,YES,22
2019,2019-07-12,11:33,Uttering Threats - Bodily Harm,YES,11
2019,2019-07-15,11:44,Mischief Interfere With Property,NO,11
2019,2019-07-16,10:15,Assault,YES,10
2019,2019-07-18,18:15,"Mischief To Religious Property, Educational Institutions, Etc.",NO,18
2019,2019-07-19,12:52,Uttering Threats - Bodily Harm,NO,12
2019,2019-07-20,13:50,Assault,YES,13
2019,2019-07-22,00:00,Mischief Under $5000,NO,0
2019,2019-07-24,00:00,Mischief Interfere With Property,NO,0
2019,2019-07-25,16:00,Mischief Under $5000,NO,16
2019,2019-07-26,22:02,Uttering Threats - Bodily Harm,YES,22
2019,2019-07-28,10:30,Mischief Under $5000,NO,10
2019,2019-07-28,22:30,Uttering Threats - Property,NO,22
2019,2019-08-06,20:30,Mischief Under $5000,NO,20
2019,2019-08-11,00:00,Mischief Under $5000,NO,0
2019,2019-08-12,12:06,Assault,YES,12
2019,2019-08-15,13:29,Mischief Under $5000,NO,13
2019,2019-08-16,13:12,Mischief Under $5000,NO,13
2019,2019-08-16,00:00,Mischief Under $5000,YES,0
2019,2019-08-18,23:34,Mischief Under $5000,NO,23
2019,2019-08-20,20:17,Mischief Under $5000,YES,20
2019,2019-08-21,14:55,Mischief Under $5000,NO,14
2019,2019-08-22,04:45,Mischief Under $5000,NO,4
2019,2019-08-22,09:44,Uttering Threats - Property,NO,9
2019,2019-08-23,21:20,Assault,NO,21
2019,2019-08-23,14:00,Mischief Under $5000,NO,14
2019,2019-08-25,18:00,Mischief Under $5000,NO,18
2019,2019-08-26,20:45,Wilful Promotion of Hatred,NO,20
2019,2019-08-30,19:21,Mischief Under $5000,NO,19
2019,2019-08-31,12:25,Mischief Under $5000,NO,12
2019,2019-09-01,19:00,Uttering Threats - Bodily Harm,NO,19
2019,2019-09-02,15:30,Assault,NO,15
2019,2019-09-03,13:44,Mischief Under $5000,NO,13
2019,2019-09-03,11:00,Assault With a Weapon,NO,11
2019,2019-09-05,08:00,"Mischief To Religious Property, Educational Institutions, Etc.",NO,8
2019,2019-09-05,19:00,Mischief Under $5000,NO,19
2019,2019-09-07,18:00,Mischief Under $5000,NO,18
2019,2019-09-10,13:00,Assault,NO,13
2019,2019-09-10,10:00,Advocating Genocide,NO,10
2019,2019-09-11,09:00,Mischief Under $5000,NO,9
2019,2019-09-11,08:00,Mischief Under $5000,NO,8
2019,2019-09-17,21:00,Uttering Threats - Bodily Harm,YES,21
2019,2019-09-21,20:00,Uttering Threats - Bodily Harm,NO,20
2019,2019-09-25,13:42,Mischief Under $5000,NO,13
2019,2019-09-25,03:13,Firearms Related Offence,NO,3
2019,2019-09-25,23:20,Uttering Threats - Bodily Harm,NO,23
2019,2019-09-30,19:44,Mischief Under $5000,NO,19
2019,2019-10-06,00:00,Uttering Threats - Bodily Harm,NO,0
2019,2019-10-07,09:59,Mischief Under $5000,NO,9
2019,2019-10-14,10:30,Uttering Threats - Bodily Harm,NO,10
2019,2019-10-16,00:00,"Mischief To Religious Property, Educational Institutions, Etc.",NO,0
2019,2019-10-22,10:00,Mischief Under $5000,NO,10
2019,2019-11-06,11:15,Mischief Under $5000,NO,11
2019,2019-11-07,19:57,Uttering Threats - Bodily Harm,YES,19
2019,2019-11-11,08:00,Mischief Under $5000,YES,8
2019,2019-11-13,01:43,Uttering Threats - Bodily Harm,NO,1
2019,2019-11-13,14:20,Assault,NO,14
2019,2019-11-17,00:56,Mischief Under $5000,NO,0
2019,2019-11-20,18:40,Public Incitement of Hatred,NO,18
2019,2019-11-22,14:00,Assault,NO,14
2019,2019-11-24,18:00,Uttering Threats - Bodily Harm,NO,18
2019,2019-12-03,09:30,Mischief Under $5000,YES,9
2019,2019-12-06,22:00,Mischief Under $5000,NO,22
2019,2019-12-11,16:00,Mischief Under $5000,NO,16
2019,2019-12-30,11:23,Mischief Under $5000,NO,11
2020,2020-01-01,22:31,Mischief Under $5000,NO,22
2020,2020-01-05,07:00,Mischief Under $5000,NO,7
2020,2020-01-08,02:10,Assault With a Weapon,YES,2
2020,2020-01-09,12:57,Mischief Under $5000,NO,12
2020,2020-01-09,10:00,Assault,NO,10
2020,2020-01-10,16:05,Mischief Under $5000,NO,16
2020,2020-01-14,12:15,Assault,NO,12
2020,2020-01-17,15:43,Mischief Under $5000,NO,15
2020,2020-01-18,08:50,Mischief Under $5000,NO,8
2020,2020-01-19,22:00,Mischief Interfere With Property,NO,22
2020,2020-01-20,22:40,Mischief Under $5000,NO,22
2020,2020-01-20,12:00,Mischief Under $5000,NO,12
2020,2020-01-20,08:45,Assault,NO,8
2020,2020-01-27,14:00,Public Incitement of Hatred,NO,14
2020,2020-01-30,10:00,Mischief Interfere With Property,NO,10
2020,2020-02-02,14:40,Assault,NO,14
2020,2020-02-07,14:30,Robbery,YES,14
2020,2020-02-07,20:00,"Mischief To Religious Property, Educational Institutions, Etc.",NO,20
2020,2020-02-11,23:59,Mischief Under $5000,NO,23
2020,2020-02-11,09:25,Mischief Interfere With Property,NO,9
2020,2020-02-18,22:05,Criminal Harassment,NO,22
2020,2020-02-21,08:32,Mischief Under $5000,NO,8
2020,2020-02-24,12:00,Mischief Under $5000,NO,12
2020,2020-02-28,12:08,Uttering Threats - Bodily Harm,YES,12
2020,2020-03-02,00:00,Mischief Under $5000,NO,0
2020,2020-03-08,19:11,Mischief Under $5000,NO,19
2020,2020-03-09,19:13,Criminal Harassment,NO,19
2020,2020-03-09,08:28,Mischief Under $5000,NO,8
2020,2020-03-17,10:54,Uttering Threats - Bodily Harm,NO,10
2020,2020-03-26,19:30,Mischief Under $5000,NO,19
2020,2020-03-30,14:00,Disturbing Religious Worship Or Certain Meetings,NO,14
2020,2020-04-02,12:00,Mischief Under $5000,NO,12
2020,2020-04-03,10:30,Disturbing Religious Worship Or Certain Meetings,NO,10
2020,2020-04-04,21:55,Mischief Under $5000,NO,21
2020,2020-04-04,22:57,Mischief Under $5000,NO,22
2020,2020-04-05,11:00,Mischief Under $5000,NO,11
2020,2020-04-08,14:40,Assault With a Weapon,NO,14
2020,2020-04-08,08:15,Assault,YES,8
2020,2020-04-19,19:55,Disturbing Religious Worship Or Certain Meetings,NO,19
2020,2020-04-21,10:00,Mischief Under $5000,NO,10
2020,2020-04-22,17:00,Criminal Harassment,NO,17
2020,2020-04-23,17:00,Uttering Threats - Bodily Harm,NO,17
2020,2020-04-25,21:13,Assault,NO,21
2020,2020-04-25,02:24,Criminal Harassment,NO,2
2020,2020-05-01,17:30,Disturbing Religious Worship Or Certain Meetings,NO,17
2020,2020-05-05,08:20,Disturbing Religious Worship Or Certain Meetings,NO,8
2020,2020-05-07,13:14,Assault,YES,13
2020,2020-05-10,12:00,Harassing Communications,NO,12
2020,2020-05-15,14:37,Disturbing Religious Worship Or Certain Meetings,NO,14
2020,2020-05-16,10:52,Criminal Harassment,YES,10
2020,2020-05-16,18:00,Uttering Threats - Property,NO,18
2020,2020-05-18,09:45,Disturbing Religious Worship Or Certain Meetings,NO,9
2020,2020-05-21,13:30,Assault,YES,13
2020,2020-05-22,21:40,Mischief Under $5000,YES,21
2020,2020-05-23,05:45,Criminal Harassment,YES,5
2020,2020-05-25,22:08,Mischief Under $5000,NO,22
2020,2020-05-25,08:25,Assault,NO,8
2020,2020-05-26,12:00,Mischief Under $5000,NO,12
2020,2020-05-26,02:36,Mischief Under $5000,YES,2
2020,2020-05-26,00:01,"Mischief To Religious Property, Educational Institutions, Etc.",NO,0
2020,2020-05-29,19:00,Mischief Under $5000,YES,19
2020,2020-05-30,16:00,Mischief Under $5000,NO,16
2020,2020-05-30,12:00,Mischief Under $5000,NO,12
2020,2020-05-30,05:07,Mischief Under $5000,NO,5
2020,2020-06-01,02:30,Criminal Harassment,YES,2
2020,2020-06-01,11:00,Mischief Under $5000,NO,11
2020,2020-06-02,07:53,Mischief Under $5000,NO,7
2020,2020-06-02,14:00,Mischief Under $5000,NO,14
2020,2020-06-03,13:00,Criminal Harassment,NO,13
2020,2020-06-05,23:00,Mischief Under $5000,NO,23
2020,2020-06-06,12:30,Mischief Interfere With Property,NO,12
2020,2020-06-06,20:41,Assault,YES,20
2020,2020-06-09,15:30,Mischief Interfere With Property,YES,15
2020,2020-06-11,09:27,Mischief Interfere With Property,NO,9
2020,2020-06-13,06:37,"Mischief To Religious Property, Educational Institutions, Etc.",NO,6
2020,2020-06-16,21:38,Assault,NO,21
2020,2020-06-16,14:30,Assault,YES,14
2020,2020-06-18,14:24,Assault,YES,14
2020,2020-06-19,04:20,Assault With a Weapon,YES,4
2020,2020-06-20,14:00,Mischief Interfere With Property,NO,14
2020,2020-06-21,12:07,Wilful Promotion of Hatred,NO,12
2020,2020-06-26,13:00,Mischief Under $5000,NO,13
2020,2020-06-26,20:48,Mischief Under $5000,NO,20
2020,2020-06-26,16:40,Criminal Harassment,YES,16
2020,2020-06-28,15:00,Mischief Under $5000,NO,15
2020,2020-06-28,00:13,Mischief Under $5000,NO,0
2020,2020-06-28,00:25,Assault,YES,0
2020,2020-06-28,14:00,Mischief Under $5000,NO,14
2020,2020-06-30,18:00,Assault,YES,18
2020,2020-07-02,21:02,Assault With a Weapon,YES,21
2020,2020-07-03,20:12,Assault,YES,20
2020,2020-07-06,17:30,Criminal Harassment,NO,17
2020,2020-07-06,03:00,Uttering Threats - Bodily Harm,NO,3
2020,2020-07-10,10:00,Mischief Under $5000,NO,10
2020,2020-07-16,19:00,Mischief Under $5000,NO,19
2020,2020-07-17,07:20,Assault,YES,7
2020,2020-07-17,09:30,Mischief Under $5000,NO,9
2020,2020-07-18,20:45,Assault,NO,20
2020,2020-07-19,13:27,Mischief Under $5000,NO,13
2020,2020-07-20,13:20,Uttering Threats - Bodily Harm,NO,13
2020,2020-07-22,22:23,Assault,YES,22
2020,2020-07-22,09:00,Wilful Promotion of Hatred,NO,9
2020,2020-07-23,11:40,Harassing Communications,NO,11
2020,2020-07-23,14:40,Disturbing Religious Worship Or Certain Meetings,NO,14
2020,2020-07-27,19:50,Assault With a Weapon,NO,19
2020,2020-07-30,21:50,Mischief Under $5000,NO,21
2020,2020-07-30,22:00,Mischief Under $5000,NO,22
2020,2020-07-31,13:00,Criminal Harassment,NO,13
2020,2020-07-31,13:06,Uttering Threats - Property,NO,13
2020,2020-08-01,00:00,Mischief Under $5000,NO,0
2020,2020-08-06,12:00,Uttering Threats - Bodily Harm,NO,12
2020,2020-08-07,14:08,Mischief Under $5000,NO,14
2020,2020-08-11,08:00,Mischief Over $5000,NO,8
2020,2020-08-11,12:30,Uttering Threats - Bodily Harm,NO,12
2020,2020-08-12,08:20,Mischief Under $5000,NO,8
2020,2020-08-12,12:50,Uttering Threats - Bodily Harm,NO,12
2020,2020-08-13,20:00,Mischief Under $5000,NO,20
2020,2020-08-13,17:00,Mischief To Data,NO,17
2020,2020-08-15,11:30,Mischief Under $5000,NO,11
2020,2020-08-16,10:05,Assault,YES,10
2020,2020-08-18,16:30,Mischief Under $5000,NO,16
2020,2020-08-19,11:00,Uttering Threats - Bodily Harm,NO,11
2020,2020-08-20,16:00,Mischief Under $5000,NO,16
2020,2020-08-23,21:00,Assault,YES,21
2020,2020-08-24,11:03,Mischief Under $5000,NO,11
2020,2020-08-24,12:30,Mischief Under $5000,NO,12
2020,2020-08-24,22:30,Mischief Under $5000,NO,22
2020,2020-08-25,16:11,Assault,NO,16
2020,2020-08-27,22:35,Assault With a Weapon,YES,22
2020,2020-08-30,03:18,Mischief Under $5000,NO,3
2020,2020-08-31,15:38,Assault,NO,15
2020,2020-08-31,12:00,Assault,YES,12
2020,2020-09-03,03:49,Mischief Under $5000,NO,3
2020,2020-09-03,16:00,Assault,NO,16
2020,2020-09-05,12:17,Assault,NO,12
2020,2020-09-08,17:00,Wilful Promotion of Hatred,NO,17
2020,2020-09-08,12:00,Criminal Harassment,NO,12
2020,2020-09-08,00:00,Criminal Harassment,YES,0
2020,2020-09-09,12:21,Assault,YES,12
2020,2020-09-09,10:00,Mischief Under $5000,NO,10
2020,2020-09-09,08:38,Mischief Under $5000,NO,8
2020,2020-09-10,16:30,Assault,NO,16
2020,2020-09-11,13:30,Assault,YES,13
2020,2020-09-11,08:44,Mischief Under $5000,NO,8
2020,2020-09-13,20:00,Mischief Under $5000,NO,20
2020,2020-09-14,05:27,Mischief Under $5000,NO,5
2020,2020-09-17,12:10,Mischief Under $5000,NO,12
2020,2020-09-17,17:30,Assault,NO,17
2020,2020-09-20,14:50,Assault,NO,14
2020,2020-09-23,19:40,"Mischief To Religious Property, Educational Institutions, Etc.",NO,19
2020,2020-09-25,15:30,Assault,NO,15
2020,2020-09-29,14:37,Assault With a Weapon,YES,14
2020,2020-09-29,18:00,Mischief Interfere With Property,NO,18
2020,2020-09-30,12:40,Assault,NO,12
2020,2020-09-30,12:00,Criminal Harassment,NO,12
2020,2020-10-02,09:49,Mischief Under $5000,NO,9
2020,2020-10-03,00:00,Mischief Under $5000,NO,0
2020,2020-10-05,18:23,Mischief Under $5000,NO,18
2020,2020-10-09,09:23,Mischief Under $5000,NO,9
2020,2020-10-11,14:15,Mischief Under $5000,NO,14
2020,2020-10-12,03:00,Mischief Under $5000,NO,3
2020,2020-10-13,23:30,Assault With a Weapon,NO,23
2020,2020-10-14,11:45,Mischief Under $5000,NO,11
2020,2020-10-15,19:15,Assault,NO,19
2020,2020-10-15,16:34,Mischief Under $5000,NO,16
2020,2020-10-15,00:00,Mischief Under $5000,NO,0
2020,2020-10-15,16:13,Uttering Threats - Bodily Harm,YES,16
2020,2020-10-17,14:50,Mischief Under $5000,NO,14
2020,2020-10-17,13:50,Criminal Harassment,YES,13
2020,2020-10-21,15:32,Mischief Under $5000,NO,15
2020,2020-10-25,16:04,Wilful Promotion of Hatred,NO,16
